icd10_code,description
O418X99,"Other specified disorders of amniotic fluid and membranes, unspecified trimester, other fetus"
O4403,"Complete placenta previa NOS or without hemorrhage, third trimester"
O4690,"Antepartum hemorrhage, unspecified, unspecified trimester"
O4691,"Antepartum hemorrhage, unspecified, first trimester"
O6010X0,"Preterm labor with preterm delivery, unspecified trimester, not applicable or unspecified"
O622,Other uterine inertia
O624,"Hypertonic, incoordinate, and prolonged uterine contractions"
O700,First degree perineal laceration during delivery
O701,Second degree perineal laceration during delivery
O7020,"Third degree perineal laceration during delivery, unspecified"
O717,Obstetric hematoma of pelvis
O720,Third-stage hemorrhage
O770,Labor and delivery complicated by meconium in amniotic fluid
O80,Encounter for full-term uncomplicated delivery
O82,Encounter for cesarean delivery without indication
O903,Peripartum cardiomyopathy
O9113,Abscess of breast associated with lactation
O9123,Nonpurulent mastitis associated with lactation
O9213,Cracked nipple associated with lactation
O924,Hypogalactia
O926,Galactorrhea
O9270,Unspecified disorders of lactation
O9279,Other disorders of lactation
O9832,Other infections with a predominantly sexual mode of transmission complicating childbirth
O98913,"Unspecified maternal infectious and parasitic disease complicating pregnancy, third trimester"
O99012,"Anemia complicating pregnancy, second trimester"
O99013,"Anemia complicating pregnancy, third trimester"
O99019,"Anemia complicating pregnancy, unspecified trimester"
O99119,"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, unspecified trimester"
O99211,"Obesity complicating pregnancy, first trimester"
O99213,"Obesity complicating pregnancy, third trimester"
O99519,"Diseases of the respiratory system complicating pregnancy, unspecified trimester"
O99619,"Diseases of the digestive system complicating pregnancy, unspecified trimester"
O99810,Abnormal glucose complicating pregnancy
O99820,Streptococcus B carrier state complicating pregnancy
O99891,Other specified diseases and conditions complicating pregnancy
P100,Subdural hemorrhage due to birth injury
P101,Cerebral hemorrhage due to birth injury
P102,Intraventricular hemorrhage due to birth injury
P103,Subarachnoid hemorrhage due to birth injury
P104,Tentorial tear due to birth injury
P108,Other intracranial lacerations and hemorrhages due to birth injury
P109,Unspecified intracranial laceration and hemorrhage due to birth injury
P110,Cerebral edema due to birth injury
P111,Other specified brain damage due to birth injury
P112,Unspecified brain damage due to birth injury
P122,Epicranial subaponeurotic hemorrhage due to birth injury
P2881,Respiratory arrest of newborn
P290,Neonatal cardiac failure
P520,"Intraventricular (nontraumatic) hemorrhage, grade 1, of newborn"
P521,"Intraventricular (nontraumatic) hemorrhage, grade 2, of newborn"
P5221,"Intraventricular (nontraumatic) hemorrhage, grade 3, of newborn"
P5222,"Intraventricular (nontraumatic) hemorrhage, grade 4, of newborn"
P523,Unspecified intraventricular (nontraumatic) hemorrhage of newborn
P524,Intracerebral (nontraumatic) hemorrhage of newborn
P525,Subarachnoid (nontraumatic) hemorrhage of newborn
P526,Cerebellar (nontraumatic) and posterior fossa hemorrhage of newborn
P528,Other intracranial (nontraumatic) hemorrhages of newborn
P529,"Intracranial (nontraumatic) hemorrhage of newborn, unspecified"
P910,Neonatal cerebral ischemia
P911,Acquired periventricular cysts of newborn
P912,Neonatal cerebral leukomalacia
P913,Neonatal cerebral irritability
P914,Neonatal cerebral depression
P915,Neonatal coma
P9160,"Hypoxic ischemic encephalopathy [HIE], unspecified"
P9161,Mild hypoxic ischemic encephalopathy [HIE]
P9162,Moderate hypoxic ischemic encephalopathy [HIE]
P9163,Severe hypoxic ischemic encephalopathy [HIE]
P91811,Neonatal encephalopathy in diseases classified elsewhere
P91819,"Neonatal encephalopathy, unspecified"
P91821,"Neonatal cerebral infarction, right side of brain"
P91822,"Neonatal cerebral infarction, left side of brain"
P91823,"Neonatal cerebral infarction, bilateral"
P91829,"Neonatal cerebral infarction, unspecified side"
P9188,Other specified disturbances of cerebral status of newborn
P919,"Disturbance of cerebral status of newborn, unspecified"
R092,Respiratory arrest
R4020,Unspecified coma
R402110,"Coma scale, eyes open, never, unspecified time"
R402111,"Coma scale, eyes open, never, in the field [EMT or ambulance]"
R402112,"Coma scale, eyes open, never, at arrival to emergency department"
R402113,"Coma scale, eyes open, never, at hospital admission"
R402114,"Coma scale, eyes open, never, 24 hours or more after hospital admission"
R402120,"Coma scale, eyes open, to pain, unspecified time"
R402121,"Coma scale, eyes open, to pain, in the field [EMT or ambulance]"
R402122,"Coma scale, eyes open, to pain, at arrival to emergency department"
R402123,"Coma scale, eyes open, to pain, at hospital admission"
R402124,"Coma scale, eyes open, to pain, 24 hours or more after hospital admission"
R402210,"Coma scale, best verbal response, none, unspecified time"
R402211,"Coma scale, best verbal response, none, in the field [EMT or ambulance]"
R402212,"Coma scale, best verbal response, none, at arrival to emergency department"
R402213,"Coma scale, best verbal response, none, at hospital admission"
R402214,"Coma scale, best verbal response, none, 24 hours or more after hospital admission"
R402220,"Coma scale, best verbal response, incomprehensible words, unspecified time"
R402221,"Coma scale, best verbal response, incomprehensible words, in the field [EMT or ambulance]"
R402222,"Coma scale, best verbal response, incomprehensible words, at arrival to emergency department"
R402223,"Coma scale, best verbal response, incomprehensible words, at hospital admission"
R402224,"Coma scale, best verbal response, incomprehensible words, 24 hours or more after hospital admission"
R402310,"Coma scale, best motor response, none, unspecified time"
R402311,"Coma scale, best motor response, none, in the field [EMT or ambulance]"
R402312,"Coma scale, best motor response, none, at arrival to emergency department"
R402313,"Coma scale, best motor response, none, at hospital admission"
R402314,"Coma scale, best motor response, none, 24 hours or more after hospital admission"
R402320,"Coma scale, best motor response, extension, unspecified time"
R402321,"Coma scale, best motor response, extension, in the field [EMT or ambulance]"
R402322,"Coma scale, best motor response, extension, at arrival to emergency department"
R402323,"Coma scale, best motor response, extension, at hospital admission"
R402324,"Coma scale, best motor response, extension, 24 hours or more after hospital admission"
R402340,"Coma scale, best motor response, flexion withdrawal, unspecified time"
R402341,"Coma scale, best motor response, flexion withdrawal, in the field [EMT or ambulance]"
R402342,"Coma scale, best motor response, flexion withdrawal, at arrival to emergency department"
R402343,"Coma scale, best motor response, flexion withdrawal, at hospital admission"
R402344,"Coma scale, best motor response, flexion withdrawal, 24 hours or more after hospital admission"
R402430,"Glasgow coma scale score 3-8, unspecified time"
R402431,"Glasgow coma scale score 3-8, in the field [EMT or ambulance]"
R402432,"Glasgow coma scale score 3-8, at arrival to emergency department"
R402433,"Glasgow coma scale score 3-8, at hospital admission"
R402434,"Glasgow coma scale score 3-8, 24 hours or more after hospital admission"
R402440,"Other coma, without documented Glasgow coma scale score, or with partial score reported, unspecified time"
R402441,"Other coma, without documented Glasgow coma scale score, or with partial score reported, in the field [EMT or ambulance]"
R402442,"Other coma, without documented Glasgow coma scale score, or with partial score reported, at arrival to emergency department"
R402443,"Other coma, without documented Glasgow coma scale score, or with partial score reported, at hospital admission"
R402444,"Other coma, without documented Glasgow coma scale score, or with partial score reported, 24 hours or more after hospital admission"
R402A,Nontraumatic coma due to underlying condition
R403,Persistent vegetative state
R570,Cardiogenic shock
R571,Hypovolemic shock
R578,Other shock
R579,"Shock, unspecified"
R6510,Systemic inflammatory response syndrome (SIRS) of non-infectious origin without acute organ dysfunction
R6511,Systemic inflammatory response syndrome (SIRS) of non-infectious origin with acute organ dysfunction
R6520,Severe sepsis without septic shock
R6521,Severe sepsis with septic shock
S020XXA,"Fracture of vault of skull, initial encounter for closed fracture"
S020XXB,"Fracture of vault of skull, initial encounter for open fracture"
S020XXS,"Fracture of vault of skull, sequela"
S02101A,"Fracture of base of skull, right side, initial encounter for closed fracture"
S02101B,"Fracture of base of skull, right side, initial encounter for open fracture"
S02101S,"Fracture of base of skull, right side, sequela"
S02102A,"Fracture of base of skull, left side, initial encounter for closed fracture"
